NULL,El Colón,Paquebot
NULL,El Cortés,Paquebot
NULL,El Cuervo,Paquebot
NULL,El Despacho,Paquebot
NULL,El Gallego,Paquebot
NULL,El Grimaldi,Paquebot
NULL,El Infante,Paquebot
NULL,El Kaulicán,Paquebot
NULL,El Lanzarote,Paquebot
NULL,El Magallanes,Paquebot
NULL,El Patagón,Paquebot
NULL,El Pinzón,Paquebot
NULL,El Pizarro,Paquebot
NULL,El Príncipe,Paquebot
NULL,El Quirós,Paquebot
NULL,El Real Carlos,Paquebot
NULL,El Rey,Paquebot
NULL,El Tenerife,Paquebot
NULL,El Tucumán,Paquebot
