NULL,Archivo General de Indias,Correos,"CORREOS,270A,R.2",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1765-09-01,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270B,R.6",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1786-03-10,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,270B,R.12",Diario de navegación,Diario de navegación del paquebot ''El Cortés'',1793-03-05,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,279B,R.9",Diario de navegación,Diario de navegación del paquebot ''El Cuervo'',1797-03-16,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,279B,R.1",Diario de navegación,Diario de navegación del paquebot ''El Despacho'',1769-03-16,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272B,R.1",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1765-02-03,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272B,R.7",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1779-03-09,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272B,R.9",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1795-05-08,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272B,R.8",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1794-07-08,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272B,R.6",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1778-07-04,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272B,R.3",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1768-01-03,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272B,R.2",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1765-11-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272B,R.7",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1779-03-09,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272B,R.9",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1795-05-08,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272B,R.8",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1794-07-08,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272B,R.6",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1778-07-04,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272B,R.3",Diario de navegación,Diario de navegación del paquebot ''El Gallego'',1768-01-03,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272A,R.7",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1774-09-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,272A,R.1",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1765-08-02,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,279B,R.27",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1770-02-27,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,192B,R.10",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1772-08-15,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,192B,R.12",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1779-06-17,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,192B,R.11",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1777-04-20,NULL
NULL,Archivo General de Indias,Correos,"CORREOS,192B,R.9",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1771-08-15,NULL
